dimension,level,sort_order,n,survived_n,survival_rate,ci_lower,ci_upper
Sex,Female,0,314,233,0.74203822,0.69092531,0.78730053
Sex,Male,1,577,109,0.18890815,0.15906601,0.22286516
Pclass,First class,0,216,136,0.62962963,0.56349005,0.69123897
Pclass,Second class,1,184,87,0.47282609,0.40198263,0.54478098
Pclass,Third class,2,491,119,0.24236253,0.20655428,0.28217086
AgeGroup,Child (<18),0,113,61,0.53982301,0.44813144,0.62889601
AgeGroup,Adult (18-59),1,575,222,0.38608696,0.34717468,0.4265112
AgeGroup,Older (60+),2,26,7,0.26923077,0.13704448,0.4608304
AgeGroup,Missing,3,177,52,0.29378531,0.23163447,0.36469703
FamilyGroup,Alone,0,537,163,0.30353818,0.26615877,0.34370842
FamilyGroup,Small (2-4),1,292,169,0.57876712,0.52147092,0.63401777
FamilyGroup,Large (5+),2,62,10,0.16129032,0.090040689,0.27206336
TravelAlone,With family,0,354,179,0.50564972,0.45378721,0.55739093
TravelAlone,Travelling alone,1,537,163,0.30353818,0.26615877,0.34370842
