model,term,term_label,estimate_log_odds,std_error,z_value,p_value,odds_ratio,ci_lower_95,ci_upper_95
Main model,const,Intercept,-1.679682062,0.456210123,-3.681816727,0.0002315778645,0.1864332409,0.07624240523,0.455879549
Main model,Female,Female (vs male),2.700427331,0.2012591567,13.41766196,4.765106494e-41,14.88609166,10.03387263,22.08476557
Main model,Pclass_1,First class (vs third),1.712278696,0.3629510738,4.717657061,2.385762054e-06,5.541574666,2.720750233,11.28697864
Main model,Pclass_2,Second class (vs third),1.035175351,0.25109441,4.122653911,3.745322005e-05,2.815599912,1.721230343,4.605776847
Main model,Age_per_10y,Age (per 10 years),-0.3861023437,0.07859279763,-4.912693724,8.983354958e-07,0.679700959,0.5826658596,0.7928959386
Main model,FamilySize,Family size (per passenger),-0.3073088814,0.0803398317,-3.825112337,0.0001307124696,0.7354234072,0.6282782999,0.8608407898
Main model,LogFare,Log fare (log1p units),0.3765025485,0.1708633834,2.20352975,0.02755743248,1.457179253,1.042494575,2.036817674
Main model,Embarked_C,Embarked C (vs S),0.4219015406,0.2429408609,1.73664298,0.0824502081,1.524858381,0.9471916815,2.454828443
Main model,Embarked_Q,Embarked Q (vs S),0.529161035,0.3530774818,1.498710799,0.1339486739,1.697507562,0.8497117427,3.391187595
Main model,AgeMissing,Age missing indicator,-0.330160201,0.2574798386,-1.282275936,0.1997458666,0.7188085704,0.4339563129,1.190640038
Complete-age sensitivity,const,Intercept,-1.188697308,0.491209074,-2.419941672,0.01552299678,0.3046178289,0.1163154477,0.7977618065
Complete-age sensitivity,Female,Female (vs male),2.655804882,0.2216681954,11.98099203,4.469431225e-33,14.2364401,9.219706487,21.982937
Complete-age sensitivity,Pclass_1,First class (vs third),2.204571802,0.41851261,5.26763531,1.381922959e-07,9.066368534,3.992039125,20.59073968
Complete-age sensitivity,Pclass_2,Second class (vs third),1.123358082,0.2702434493,4.156837419,3.226834527e-05,3.075163536,1.810658615,5.222757453
Complete-age sensitivity,Age_per_10y,Age (per 10 years),-0.4170155089,0.08232772742,-5.065310583,4.077350295e-07,0.6590106993,0.560809003,0.7744082201
Complete-age sensitivity,FamilySize,Family size (per passenger),-0.2442633682,0.08971110722,-2.722777321,0.006473567553,0.7832813157,0.6569851212,0.933856186
Complete-age sensitivity,LogFare,Log fare (log1p units),0.171687006,0.1921129918,0.8936772283,0.3714946126,1.187306155,0.8147715279,1.730173255
Complete-age sensitivity,Embarked_C,Embarked C (vs S),0.4022864963,0.2753445006,1.461029711,0.1440072878,1.495239652,0.8716399791,2.564982872
Complete-age sensitivity,Embarked_Q,Embarked Q (vs S),-0.4112679612,0.5532819528,-0.7433243741,0.4572853182,0.6628093006,0.2240960192,1.960392561
